"GroupName","GroupDescription"
"ADManager Wintel Admins",
"All at TP ICAP Philippines",
"aws-sso-tpicap-dms-npd-SystemAdministrator",
"Domain Users",
"GB U S TPSHAREPOINT ITINF MEMBER",
"GBL-G-S-WEB-Webusers",
"GLOBAL G All IT Users",
"Global G Mimecast Okta Admins",
"Global G O365 E3 Standard plus Teams License",
"Global G Okta SAP Concur",
"Global G Thycotic OKTA",
"Global G TPICAP ServiceNow Users",
"Global_G_Okta_O365",
"Global_U_AWS_Workspaces-Singapore",
"ISM Platform Wintel Dep",
"M365 E3 Phone System License",
"Okta QualysGuard Prod",
"Okta Workday Prod",
"SharePoint Intranet Audience Target APAC",
"TSS INFRA Domain Admin APAC",
"TSS INFRA Local Admin (Wintel Only)",
"Wintel Operations",
"WintelOperations",
