"service_state";"service_icons";"host";"svc_plugin_output";"perfometer"
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws070n03.corp.ad.tullib.com";"Processes: 1, Virtual memory: 12.6 MiB, Resident memory: 31.6 MiB, CPU: 0.03%, Process handles: 1007, Running for: 5 hours 44 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws070n04.corp.ad.tullib.com";"Processes: 1, Virtual memory: 12.9 MiB, Resident memory: 32.2 MiB, CPU: 0.03%, Process handles: 1018, Running for: 5 hours 48 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws089n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 12.7 MiB, Resident memory: 31.5 MiB, CPU: 0.01%, Process handles: 1154, Running for: 5 hours 52 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws091n03.corp.ad.tullib.com";"Processes: 1, Virtual memory: 12.5 MiB, Resident memory: 31.2 MiB, CPU: 0%, Process handles: 1048, Running for: 5 hours 47 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws095n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 11.6 MiB, Resident memory: 30.5 MiB, CPU: 0%, Process handles: 1034, Running for: 5 hours 52 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws096n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 11.5 MiB, Resident memory: 30.6 MiB, CPU: 0.01%, Process handles: 1091, Running for: 5 hours 47 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws099n02.corp.ad.tullib.com";"Processes: 1, Virtual memory: 12.0 MiB, Resident memory: 32.7 MiB, CPU: 0%, Process handles: 1107, Running for: 5 hours 49 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws0100n01.global.icap.com";"Processes: 1, Virtual memory: 11.1 MiB, Resident memory: 30.0 MiB, CPU: 0%, Process handles: 936, Running for: 5 hours 51 minutes";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws0200n04.global.icap.com";"Processes: 1, Virtual memory: 13.5 MiB, Resident memory: 32.3 MiB, CPU: 0%, Process handles: 974, Running for: 14 days 10 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"ldn2ws0200n05.global.icap.com";"Processes: 1, Virtual memory: 16.5 MiB, Resident memory: 33.9 MiB, CPU: 0%, Process handles: 1496, Running for: 14 days 10 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"hk1qbtrdsql01.lnholdings.com";"Processes: 1, Virtual memory: 14.5 MiB, Resident memory: 32.3 MiB, CPU: 0%, Process handles: 1119, Running for: 27 days 15 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"hkguotlsql01.corp.ad.tullib.com";"Processes: 1, Virtual memory: 16.7 MiB, Resident memory: 35.3 MiB, CPU: 0%, Process handles: 1954, Running for: 27 days 10 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"SNG2WS019N02.CORP.AD.TULLIB.COM";"Processes: 1, Virtual memory: 2.00 TiB, Resident memory: 31.2 MiB, CPU: 0%, Process handles: 1111, Running for: 14 days 20 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"SNG2WS020N02.CORP.AD.TULLIB.COM";"Processes: 1, Virtual memory: 2.00 TiB, Resident memory: 32.3 MiB, CPU: 0%, Process handles: 1190, Running for: 14 days 20 hours";"1 "
"OK";"NOT_CSV_EXPORTABLE";"EBD1WS001N01.ebdev.tpebroking.com";"Processes: 1, Virtual memory: 18.1 MiB, Resident memory: 30.0 MiB, CPU: 0%, Process handles: 931, Running for: 20 days 13 hours";"1 "
