Port,Status,URL,Website
80,Started,http://www.pvmdataservices.com,PVMDataServices
80,Started,http://pvmdataservices.com,PVMDataServices
443,Started,https://www.pvmdataservices.com,PVMDataServices
80,Started,http://regulatory.tpicap.com,tpicapregulatory
443,Started,https://regulatory.tpicap.com,tpicapregulatory
80,Started,http://regulatoryportalUAT,regulatoryportalUAT
80,Started,http://regulatorportalCMSUAT,regulatorportalCMSUAT
80,Started,http://www.icap.com,icap.com
80,Started,http://icapwebprod,icap.com
80,Started,http://icapwebprod.corp.ad.tullib.com,icap.com
80,Started,http://icap.com,icap.com
7575,Started,http://localhost:7575,icap.com
80,Started,http://icapwebuat,icap.comUAT
80,Started,http://euronia.icap.com,icapEuronia
443,Started,https://euronia.icap.com,icapEuronia
8585,Started,http://localhost:8585,icapEuronia
80,Stopped,http://eonia1.tullettprebon.com,redirect.Eonia.tullettprebon.com
321,Started,http://icapEuroniaUat:321,icapEuroniaUat
80,Started,http://RegPrebonUat,RegPrebonUat
80,Started,http://tpEueniaUat,tpEueniaUat
80,Started,http://MirexaCapitalUAT,MirexaCapitalUAT
80,Started,http://icapuat,icapUAT
