"server_name";"label";"svc_plugin_output";"service_state"
"hou1ws0937";"cmk/os_family:windows, cmk/os_platform:windows, File Servers - AM Prod:GOLD, application:Mulitple Apps, cmk/site:Prod_NJC1";"Used: 13.27% - 26.5 GiB of 200 GiB, trend per 1 day 0 hours: +114 MiB, trend per 1 day 0 hours: +0.06%, Time left until disk full: 4 years 89 days";"OK"
"houpinffps02";"cmk/os_family:windows, cmk/os_platform:windows, File Servers - AM Prod:GOLD, application:Mulitple Apps, cmk/site:Prod_NJC1";"Used: 61.61% - 37.0 GiB of 60.0 GiB, trend per 1 day 0 hours: +16.2 MiB, trend per 1 day 0 hours: +0.03%, Time left until disk full: 3 years 359 days";"OK"
