service_state,service_icons,host,svc_plugin_output,perfometer
CRIT,NOT_CSV_EXPORTABLE,euw1ws0214.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0215.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0216.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0217.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0218.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0227.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0234.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0240.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0243.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0245.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0252.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0255.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0256.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0258.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0261.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0264.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0265.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0273.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0277.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0279.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0285.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0308.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0310.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0311.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0315.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0317.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0323.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0326.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0330.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0339.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0345.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0354.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0358.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0363.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0368.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0371.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0380.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0381.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0382.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0396.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0399.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0408.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0409.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0418.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0426.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0430.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0435.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0437.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0449.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0458.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0459.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0463.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0473.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0475.ad.tradeblade.com,service not found,
CRIT,NOT_CSV_EXPORTABLE,euw1ws0477.ad.tradeblade.com,service not found,
